diameter,berat,tebal_kulit,kadar_gula,asal_daerah,warna,musim_panen,kualitas
4.51,94.9,0.71,8.4,Kalimantan,hijau,kemarau,Jelek
5.87,98.5,1.0,6.7,Jawa Barat,hijau,hujan,Jelek
4.96,95.5,0.75,9.0,Jawa Tengah,hijau,kemarau,Jelek
5.62,114.5,1.07,9.2,Kalimantan,hijau,kemarau,Jelek
6.54,103.3,1.18,7.8,Jawa Tengah,hijau,kemarau,Jelek
5.04,103.0,0.92,8.0,Jawa Tengah,hijau,hujan,Jelek
4.23,106.2,0.48,6.5,Jawa Barat,hijau,hujan,Jelek
5.36,88.6,1.04,8.5,Jawa Tengah,hijau,hujan,Jelek
6.05,110.4,1.09,8.6,Kalimantan,hijau,kemarau,Jelek
6.48,99.2,1.08,7.9,Kalimantan,hijau,hujan,Jelek
4.89,106.7,1.25,9.1,Jawa Barat,hijau,kemarau,Jelek
5.75,89.3,0.79,7.7,Jawa Tengah,hijau,hujan,Jelek
5.27,84.5,1.14,8.6,Kalimantan,hijau,hujan,Jelek
5.45,108.2,1.24,7.0,Jawa Tengah,hijau,kemarau,Jelek
6.82,103.8,0.64,8.0,Jawa Tengah,hijau,hujan,Jelek
4.75,91.0,1.06,7.8,Jawa Tengah,hijau,kemarau,Jelek
5.63,91.3,0.9,8.2,Jawa Barat,hijau,kemarau,Jelek
5.73,111.3,0.98,7.6,Jawa Tengah,hijau,hujan,Jelek
6.04,88.1,1.07,7.9,Kalimantan,hijau,kemarau,Jelek
5.55,116.4,0.9,8.8,Jawa Tengah,hijau,kemarau,Jelek
5.65,91.0,0.86,7.6,Kalimantan,hijau,hujan,Jelek
5.3,106.4,1.01,6.4,Jawa Tengah,hijau,hujan,Jelek
5.63,96.7,0.78,9.7,Kalimantan,hijau,kemarau,Jelek
5.33,106.0,0.78,9.4,Kalimantan,hijau,hujan,Jelek
5.81,94.6,1.14,6.7,Jawa Tengah,hijau,kemarau,Jelek
5.32,98.4,0.77,8.7,Jawa Tengah,hijau,kemarau,Jelek
5.69,100.4,1.13,7.5,Kalimantan,hijau,hujan,Jelek
5.49,90.0,1.09,8.3,Jawa Barat,hijau,hujan,Jelek
6.06,107.4,0.65,8.3,Jawa Tengah,hijau,hujan,Jelek
5.47,94.9,0.86,7.8,Jawa Barat,hijau,hujan,Jelek
4.61,97.7,1.24,7.2,Jawa Tengah,hijau,kemarau,Jelek
6.13,90.1,0.8,7.3,Jawa Tengah,hijau,kemarau,Jelek
5.05,74.4,0.91,7.1,Jawa Tengah,hijau,hujan,Jelek
5.17,98.1,1.09,7.2,Jawa Tengah,hijau,hujan,Jelek
5.2,124.1,1.16,7.9,Jawa Barat,hijau,kemarau,Jelek
6.19,107.8,0.95,7.3,Jawa Tengah,hijau,kemarau,Jelek
4.43,99.8,0.88,8.7,Kalimantan,hijau,kemarau,Jelek
7.07,97.4,1.28,9.5,Kalimantan,hijau,kemarau,Jelek
6.03,100.2,1.35,7.4,Jawa Barat,hijau,hujan,Jelek
5.61,105.5,1.2,8.2,Jawa Tengah,hijau,kemarau,Jelek
5.47,88.2,1.02,8.5,Kalimantan,hijau,kemarau,Jelek
5.64,111.1,0.84,8.5,Jawa Barat,hijau,hujan,Jelek
5.76,107.2,0.83,8.1,Jawa Tengah,hijau,kemarau,Jelek
5.82,107.2,1.1,8.7,Kalimantan,hijau,kemarau,Jelek
5.78,104.4,1.08,8.5,Kalimantan,hijau,hujan,Jelek
5.54,100.2,1.28,6.8,Jawa Barat,hijau,hujan,Jelek
5.4,106.7,1.13,8.9,Jawa Tengah,hijau,hujan,Jelek
5.42,105.9,0.7,8.9,Jawa Tengah,hijau,kemarau,Jelek
5.4,96.5,1.21,7.2,Kalimantan,hijau,kemarau,Jelek
6.07,94.3,0.8,8.0,Kalimantan,hijau,hujan,Jelek
5.8,101.0,0.92,8.7,Kalimantan,hijau,hujan,Jelek
4.03,115.5,1.05,7.8,Jawa Tengah,hijau,kemarau,Jelek
5.83,87.6,1.4,9.1,Jawa Barat,hijau,hujan,Jelek
5.6,85.3,1.62,10.4,Jawa Barat,hijau,hujan,Jelek
5.49,101.6,1.12,7.2,Jawa Tengah,hijau,hujan,Jelek
5.31,100.5,0.96,6.6,Jawa Barat,hijau,kemarau,Jelek
6.06,101.7,1.11,8.3,Kalimantan,hijau,kemarau,Jelek
5.97,102.4,1.18,8.7,Jawa Barat,hijau,kemarau,Jelek
5.11,97.8,0.94,7.8,Jawa Barat,hijau,kemarau,Jelek
5.7,114.9,1.36,9.5,Jawa Barat,hijau,kemarau,Jelek
5.01,84.0,1.05,6.7,Kalimantan,hijau,kemarau,Jelek
4.81,91.7,1.1,8.7,Jawa Tengah,hijau,hujan,Jelek
5.19,99.0,1.13,7.4,Kalimantan,hijau,kemarau,Jelek
5.93,83.6,1.08,9.7,Jawa Tengah,hijau,kemarau,Jelek
5.98,98.2,1.17,10.0,Jawa Tengah,hijau,hujan,Jelek
5.76,116.6,0.88,7.2,Jawa Tengah,hijau,kemarau,Jelek
5.86,100.2,0.89,7.5,Jawa Barat,hijau,kemarau,Jelek
5.76,102.3,0.78,8.9,Jawa Barat,hijau,hujan,Jelek
5.18,87.4,1.09,7.6,Jawa Tengah,hijau,hujan,Jelek
5.72,93.8,1.16,8.0,Jawa Tengah,hijau,hujan,Jelek
5.9,96.2,1.09,8.0,Jawa Barat,hijau,kemarau,Jelek
5.88,96.8,1.33,6.1,Kalimantan,hijau,hujan,Jelek
6.09,112.8,1.0,8.0,Jawa Tengah,hijau,kemarau,Jelek
5.85,105.6,1.13,7.3,Kalimantan,hijau,kemarau,Jelek
5.68,88.9,0.78,7.5,Jawa Barat,hijau,kemarau,Jelek
6.04,102.5,0.92,9.4,Jawa Tengah,hijau,kemarau,Jelek
5.49,105.0,1.14,6.7,Kalimantan,hijau,hujan,Jelek
5.06,111.4,1.17,8.8,Kalimantan,hijau,hujan,Jelek
5.42,115.8,0.94,7.7,Kalimantan,hijau,kemarau,Jelek
5.13,89.8,0.99,7.7,Jawa Barat,hijau,hujan,Jelek
5.16,91.9,0.7,8.8,Jawa Barat,hijau,kemarau,Jelek
5.43,87.4,0.93,8.3,Kalimantan,hijau,kemarau,Jelek
5.1,97.7,1.18,8.6,Kalimantan,hijau,kemarau,Jelek
5.35,104.7,1.12,9.0,Jawa Barat,hijau,hujan,Jelek
4.55,109.9,1.1,7.7,Kalimantan,hijau,kemarau,Jelek
5.61,99.2,1.01,7.4,Kalimantan,hijau,kemarau,Jelek
5.5,96.8,1.0,6.9,Jawa Barat,hijau,hujan,Jelek
5.09,101.5,0.87,7.2,Kalimantan,hijau,hujan,Jelek
5.83,91.6,1.14,10.9,Kalimantan,hijau,hujan,Jelek
5.97,120.9,1.08,9.2,Kalimantan,hijau,hujan,Jelek
4.7,83.9,1.1,6.6,Jawa Barat,hijau,kemarau,Jelek
5.12,101.8,0.89,6.7,Kalimantan,hijau,hujan,Jelek
5.12,120.2,0.57,8.5,Jawa Barat,hijau,kemarau,Jelek
5.03,100.1,1.22,8.5,Jawa Barat,hijau,hujan,Jelek
5.91,98.1,0.9,8.5,Jawa Tengah,hijau,hujan,Jelek
5.4,96.4,0.83,7.7,Jawa Tengah,hijau,hujan,Jelek
5.37,98.2,1.14,7.9,Kalimantan,hijau,hujan,Jelek
4.5,113.7,0.92,8.3,Jawa Barat,hijau,hujan,Jelek
5.82,77.9,1.21,8.1,Jawa Tengah,hijau,hujan,Jelek
4.88,115.3,1.12,5.8,Kalimantan,hijau,kemarau,Jelek
5.53,85.8,1.14,7.8,Jawa Tengah,hijau,hujan,Jelek
5.64,97.3,0.73,7.1,Jawa Tengah,hijau,hujan,Jelek
6.18,95.7,1.24,8.2,Jawa Barat,hijau,hujan,Jelek
4.85,105.9,1.05,11.0,Jawa Barat,hijau,hujan,Jelek
3.99,84.0,0.93,8.4,Jawa Tengah,hijau,kemarau,Jelek
5.59,104.6,1.03,7.7,Jawa Tengah,hijau,hujan,Jelek
6.4,120.2,0.64,8.9,Jawa Barat,hijau,hujan,Jelek
6.12,86.4,1.08,8.5,Kalimantan,hijau,hujan,Jelek
5.6,101.9,0.79,8.4,Jawa Barat,hijau,hujan,Jelek
5.25,93.4,0.73,8.6,Jawa Tengah,hijau,kemarau,Jelek
5.9,104.3,0.7,10.1,Kalimantan,hijau,hujan,Jelek
5.01,100.2,1.22,6.9,Jawa Tengah,hijau,kemarau,Jelek
5.74,93.6,0.87,8.5,Kalimantan,hijau,hujan,Jelek
5.75,104.9,1.31,7.1,Jawa Tengah,hijau,kemarau,Jelek
6.03,118.0,0.89,8.6,Kalimantan,hijau,kemarau,Jelek
6.88,98.1,0.66,7.1,Kalimantan,hijau,hujan,Jelek
5.7,107.2,0.78,7.6,Jawa Tengah,hijau,hujan,Jelek
5.25,87.1,1.25,7.7,Kalimantan,hijau,kemarau,Jelek
5.49,90.4,0.97,9.0,Jawa Barat,hijau,kemarau,Jelek
4.62,104.7,0.89,8.9,Jawa Tengah,hijau,hujan,Jelek
5.15,114.8,1.03,6.8,Jawa Barat,hijau,kemarau,Jelek
5.3,103.6,1.1,8.1,Jawa Tengah,hijau,kemarau,Jelek
5.24,96.9,1.22,7.3,Kalimantan,hijau,kemarau,Jelek
5.58,100.0,1.29,6.7,Kalimantan,hijau,hujan,Jelek
5.09,87.5,0.93,7.8,Kalimantan,hijau,kemarau,Jelek
6.06,106.0,0.73,7.7,Jawa Tengah,hijau,kemarau,Jelek
5.5,108.8,0.92,10.4,Jawa Barat,hijau,kemarau,Jelek
5.5,95.5,1.05,8.4,Jawa Barat,hijau,hujan,Jelek
7.69,221.8,0.7,13.0,Jawa Barat,oranye,hujan,Bagus
7.57,200.5,0.46,13.6,Kalimantan,oranye,hujan,Bagus
